,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,WINNER,COUNTRY
0,tt0018379,seventh heaven,1926,0,7.7,2801,1300000,30,10.0,1927,0,35
1,tt0018037,the jazz singer,1927,0,6.7,8254,422000,6,10.0,1927,0,35
2,tt0037024,the lodger,1927,0,7.2,2751,800000,19,1.0,1944,0,35
3,tt0018051,the kid brother,1927,0,7.6,3448,250000.0,17,1.0,1927,0,35
4,tt0018033,it,1927,1,7.4,2726,2000000.0,15,2.0,1927,0,35
5,tt0018192,napoléon,1927,0,7.7,6295,152000,7,4.0,1927,0,1
6,tt0018455,sunrise,1927,1,8.1,43717,200000.0,4,11.0,1927,0,35
7,tt0017136,metropolis,1927,1,8.3,145916,3407043.0,13,3.0,1927,0,35
8,tt0018526,underworld,1927,1,7.6,2228,100000.0,29,10.0,1927,0,35
9,tt0018742,the cameraman,1928,0,8.2,9302,1200000.0,22,9.0,1928,0,35
10,tt0019688,big business,1928,1,7.8,2567,2500.0,20,4.0,1929,0,35
11,tt0019254,the passion of joan of arc,1928,0,8.1,41233,7125440.0,25,10.0,1928,0,2
12,tt0018806,the crowd,1928,1,8.0,6868,1000000.0,3,3.0,1928,0,35
13,tt0019585,the wind,1928,1,8.2,5577,1000000.0,23,11.0,1928,0,35
14,tt0019071,the last command,1928,0,8.0,2963,390000.0,24,3.0,1928,0,3
15,tt0018217,october (ten days that shook the world),1928,0,7.5,6350,2500000.0,24,9.0,1928,0,4
16,tt0018523,an italian straw hat,1928,0,6.9,714,500000.0,13,1.0,1928,0,2
17,tt0018839,the docks of new york,1928,0,7.6,3517,380000.0,29,9.0,1928,0,35
18,tt0019421,"steamboat bill, jr.",1928,1,8.0,11761,404282.0,20,5.0,1928,0,35
19,tt0020530,un chien andalou,1928,1,7.8,42313,16931.0,6,6.0,1929,0,2
20,tt0021577,l'âge d'or,1929,0,7.4,11579,169309.0,1,11.0,1979,0,35
21,tt0019760,the man with the movie camera,1929,0,8.4,19978,121590.0,12,5.0,1929,0,35
22,tt0019735,bulldog drummond,1929,0,6.5,767,550000,2,5.0,1929,0,35
23,tt0019644,applause,1929,0,7.3,1201,200000.0,4,1.0,1930,0,35
24,tt0020298,queen kelly,1929,0,7.7,2963,800000,18,10.0,1932,0,5
25,tt0019959,hallelujah,1929,0,6.9,1426,500000.0,20,8.0,1929,0,35
26,tt0018737,pandora's box,1929,0,7.9,8990,800000.0,22,2.0,1930,0,6
27,tt0019823,disraeli,1929,0,6.3,902,318000.0,1,11.0,1929,0,35
28,tt0019702,blackmail,1929,1,7.0,8701,12000.0,6,10.0,1929,0,35
29,tt0020112,the love parade,1929,0,7.2,1784,650000,18,1.0,1930,0,35
30,tt0020640,animal crackers,1930,1,7.6,12299,125000.0,6,9.0,1930,0,35
31,tt0020960,hell's angels,1930,0,7.7,4479,3950000,15,11.0,1930,0,35
