,TCONST,TITLE,YEAR,BECHDEL,RATING,VOTES,PRODUCTION_CO,BUDGET,RELEASE_DAY,RELEASE_MON,RELEASE_YEAR,COUNTRY,WINNER,RANK
0,tt0018578,wings,1927,1,7.7,10234,Paramount,2000000,5,1.0,1929,USA,1,1
1,tt0019729,the broadway melody,1928,0,6.1,5836,Metro-Goldwyn-Mayer,379000,6,6.0,1929,USA,1,1
2,tt0020629,all quiet on the western front,1929,1,8.0,53729,Universal,1448864,24,8.0,1930,USA,1,1
0,tt0022958,grand hotel,1930,1,7.5,15822,Metro-Goldwyn-Mayer,700000,11,9.0,1932,USA,1,1
3,tt0021746,cimarron,1931,1,5.9,4837,RKO,1433000,9,2.0,1931,USA,1,1
5,tt0023876,cavalcade,1932,1,6.0,4018,Fox,1180280,15,4.0,1933,USA,1,1
6,tt0025316,it happened one night,1934,1,8.1,85490,Columbia,325000,22,2.0,1934,USA,1,1
7,tt0026752,mutiny on the bounty,1935,1,7.8,19073,Metro-Goldwyn-Mayer,1950000,22.0,11.0,1935.0,USA,1,1
8,tt0027698,the great ziegfeld,1936,0,6.8,6469,Metro-Goldwyn-Mayer,2183000.0,8,4.0,1936,USA,1,1
9,tt0029146,the life of emile zola,1937,0,7.3,6328,Warner,700000.0,2,10.0,1937,USA,1,1
10,tt0030993,you can't take it with you,1938,0,8.0,21379,Columbia,1644736,29,9.0,1938,USA,1,1
11,tt0031381,gone with the wind,1939,1,8.2,266162,Selznick,3977000,17,1.0,1940,USA,1,1
12,tt0032976,rebecca,1940,1,8.1,111714,Selznick,1288000,12,4.0,1940,USA,1,1
13,tt0033729,how green was my valley,1941,0,7.8,19272,Twentieth,1250000,9,4.0,1942,Australia,1,1
14,tt0035093,mrs. miniver,1942,1,7.6,14392,Metro-Goldwyn-Mayer,1344000,1,12.0,1942,Sweden,1,1
15,tt0034583,casablanca,1943,1,8.5,480875,Warner,950000,23,1.0,1943,USA,1,1
16,tt0036872,going my way,1944,0,7.2,9377,Paramount,4000000.0,2,10.0,1944,Brazil,1,1
17,tt0037884,the lost weekend,1945,0,8.0,30735,Paramount,1250000,29.0,11.0,1945.0,USA,1,1
18,tt0036868,the best years of our lives,1946,0,8.1,53653,The,2100000,29,5.0,1947,Mexico,1,1
19,tt0039416,gentleman's agreement,1947,0,7.3,13498,Twentieth,1985000,25.0,12.0,1947.0,USA,1,1
20,tt0040416,hamlet,1948,1,7.8,13985,Two,500000,12,8.0,1948,Australia,1,1
21,tt0041113,all the king's men,1949,0,7.5,12074,Columbia,55000000.0,8.0,11.0,1949.0,USA,1,1
22,tt0042192,all about eve,1950,1,8.3,110443,Twentieth,1400000,27,10.0,1950,USA,1,1
23,tt0043278,an american in paris,1951,1,7.2,27585,Metro-Goldwyn-Mayer,2723903,11,11.0,1951,USA,1,1
24,tt0044672,the greatest show on earth,1952,0,6.7,11719,Paramount,4000000,10.0,1.0,1952.0,USA,1,1
25,tt0045793,from here to eternity,1953,1,7.7,39731,Columbia,1650000,28,8.0,1953,USA,1,1
26,tt0047296,on the waterfront,1954,1,8.2,129888,Horizon,910000,22,6.0,1954,Japan,1,1
27,tt0048356,marty,1955,1,7.7,19367,Hecht-Lancaster,343000,10,6.0,1955,Belgium,1,1
28,tt0048960,around the world in 80 days,1956,1,6.8,22352,Michael,6000000,17,10.0,1956,USA,1,1
29,tt0050212,the bridge on the river kwai,1957,0,8.2,187486,Horizon,3000000,14,12.0,1957,USA,1,1
30,tt0051658,gigi,1958,1,6.8,17916,Metro-Goldwyn-Mayer,3319355,25,6.0,1958,USA,1,1
31,tt0052618,ben-hur,1959,1,8.1,202956,Metro-Goldwyn-Mayer,15900000,29,1.0,1960,Brazil,1,1
32,tt0053604,the apartment,1960,0,8.3,146041,The,3000000,16,9.0,1960,France,1,1
33,tt0055614,west side story,1961,1,7.6,88532,The,6000000,23,12.0,1961,Japan,1,1
34,tt0056172,lawrence of arabia,1962,1,8.3,245082,Horizon,15000000,11,12.0,1962,UK,1,1
35,tt0057590,tom jones,1963,1,6.6,10531,Woodfall,1000000,27,6.0,1963,UK,1,1
36,tt0058385,my fair lady,1964,1,7.8,80208,Warner,17000000,25,12.0,1964,USA,1,1
37,tt0059742,the sound of music,1965,0,8.0,184316,Robert,8200000,1,4.0,1965,USA,1,1
