,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,COUNTRY,WINNER
0,tt0018379,seventh heaven,1926,0,7.7,2801,1300000,30,10,1927,USA,0
1,tt0018037,the jazz singer,1927,0,6.7,8254,422000,6,10,1927,USA,0
2,tt0037024,the lodger,1927,0,7.2,2751,800000,19,1,1944,USA,0
3,tt0018051,the kid brother,1927,0,7.6,3448,250000,17,1,1927,USA,0
4,tt0018033,it,1927,1,7.4,2726,2000000,15,2,1927,USA,0
5,tt0018192,napoléon,1927,0,7.7,6295,152000,7,4,1927,Germany,0
6,tt0018455,sunrise,1927,1,8.1,43717,200000,4,11,1927,USA,0
7,tt0017136,metropolis,1927,1,8.3,145916,3407043,13,3,1927,USA,0
8,tt0018526,underworld,1927,1,7.6,2228,100000,29,10,1927,USA,0
9,tt0019421,"steamboat bill, jr.",1928,1,8,11761,404282,20,5,1928,USA,0
10,tt0018839,the docks of new york,1928,0,7.6,3517,380000,29,9,1928,USA,0
11,tt0019071,the last command,1928,0,8,2963,390000,24,3,1928,Denmark,0
12,tt0018523,an italian straw hat,1928,0,6.9,714,500000,13,1,1928,France,0
13,tt0018217,october (ten days that shook the world),1928,0,7.5,6350,2500000,24,9,1928,Sweden,0
14,tt0020530,un chien andalou,1928,1,7.8,42313,16931,6,6,1929,France,0
15,tt0019585,the wind,1928,1,8.2,5577,1000000,23,11,1928,USA,0
16,tt0018806,the crowd,1928,1,8,6868,1000000,3,3,1928,USA,0
17,tt0019254,the passion of joan of arc,1928,0,8.1,41233,7125440,25,10,1928,France,0
18,tt0019688,big business,1928,1,7.8,2567,2500,20,4,1929,USA,0
19,tt0018742,the cameraman,1928,0,8.2,9302,1200000,22,9,1928,USA,0
20,tt0019702,blackmail,1929,1,7,8701,12000,6,10,1929,USA,0
21,tt0019823,disraeli,1929,0,6.3,902,318000,1,11,1929,USA,0
22,tt0018737,pandora's box,1929,0,7.9,8990,800000,22,2,1930,Japan,0
23,tt0019959,hallelujah,1929,0,6.9,1426,500000,20,8,1929,USA,0
24,tt0020112,the love parade,1929,0,7.2,1784,650000,18,1,1930,USA,0
25,tt0020298,queen kelly,1929,0,7.7,2963,800000,18,10,1932,Argentina,0
26,tt0019644,applause,1929,0,7.3,1201,200000,4,1,1930,USA,0
27,tt0021577,l'âge d'or,1929,0,7.4,11579,169309,1,11,1979,USA,0
28,tt0019735,bulldog drummond,1929,0,6.5,767,550000,2,5,1929,USA,0
29,tt0019760,the man with the movie camera,1929,0,8.4,19978,121590,12,5,1929,USA,0
30,tt0021156,morocco,1930,1,7.2,4939,4800,6,12,1930,USA,0
31,tt0020697,the blue angel,1930,0,7.8,12486,77982,5,12,1930,USA,0
32,tt0021571,earth,1930,1,7.4,4333,2000000,17,10,1930,USA,0
33,tt0021409,under the roofs of paris,1930,0,7.2,1829,37586658,15,12,1930,USA,0
34,tt0021153,monte carlo,1930,1,6.9,1042,726465,27,8,1930,USA,0
35,tt0020686,the big house,1930,0,7.1,1633,414000,14,6,1930,USA,0
36,tt0020640,animal crackers,1930,1,7.6,12299,125000,6,9,1930,USA,0
37,tt0020960,hell's angels,1930,0,7.7,4479,3950000,15,11,1930,USA,0
38,tt0021884,frankenstein,1931,1,7.9,59112,291000,21,11,1931,USA,0
39,tt0022286,the public enemy,1931,0,7.7,16197,190000,15,5,1931,USA,0
40,tt0022599,à nous la liberté,1931,0,7.6,3757,1500000,31,12,1931,USA,0
41,tt0022100,m,1931,1,8.3,129744,500000,31,8,1931,Sweden,0
42,tt0022150,le million,1931,0,7.5,2964,90000,4,2,1931,Portugal,0
43,tt0021079,little caesar,1931,1,7.3,10859,281000,25,1,1931,USA,0
44,tt0021739,la chienne,1931,1,7.6,3262,100000,20,11,1931,France,0
45,tt0022835,dr. jekyll and mr. hyde,1931,0,7.7,11486,535000,3,1,1932,USA,0
46,tt0021749,city lights,1931,1,8.5,149626,1500000,7,3,1931,USA,0
47,tt0021814,dracula,1931,1,7.6,41574,355000,14,2,1931,USA,0
48,tt0023622,trouble in paradise,1932,0,8.1,11796,519706,28,10,1932,USA,0
49,tt0023042,i am a fugitive from a chain gang,1932,1,8.2,10622,195845,19,11,1932,USA,0
50,tt0023458,shanghai express,1932,1,7.4,6605,850000,12,2,1932,USA,0
51,tt0023158,love me tonight,1932,1,7.7,3312,950000,14,10,1932,Germany,0
52,tt0022718,boudu saved from drowning,1932,1,7.4,4764,80000,23,2,1967,USA,0
53,tt0023427,scarface,1932,1,7.8,23046,180000,9,4,1932,USA,0
54,tt0024803,zéro de conduite,1932,0,7.4,7005,33862,21,6,1947,USA,0
55,tt0022913,freaks,1932,1,7.9,38539,310607,20,2,1932,USA,0
56,tt0023649,vampyr,1932,1,7.6,13962,20000,14,8,1934,USA,0
57,tt0023303,one hour with you,1932,0,7.3,1848,851000,25,3,1932,USA,0
58,tt0023948,dinner at eight,1933,0,7.7,7018,435000,12,1,1934,USA,0
59,tt0024481,queen christina,1933,1,7.8,6633,1114000,9,2,1934,USA,0
60,tt0024069,gold diggers of 1933,1933,1,8,6633,433000,27,5,1933,USA,0
61,tt0024473,the private life of henry viii,1933,0,7.2,3323,60000,21,9,1933,USA,0
62,tt0024548,she done him wrong,1933,0,6.4,4993,200000,9,2,1933,USA,0
63,tt0024264,little women,1933,1,7.3,5597,424000,24,11,1933,USA,0
64,tt0024216,king kong,1933,1,7.9,74137,670000,7,4,1933,USA,0
65,tt0023969,duck soup,1933,1,7.9,52545,160000,17,11,1933,USA,0
66,tt0024034,42nd street,1933,1,7.6,9787,439000,11,3,1933,USA,0
67,tt0024844,l'atalante,1934,0,7.8,13047,1017920,21,6,1947,USA,0
68,tt0025878,the thin man,1934,0,8.1,24299,226408,25,5,1934,USA,0
69,tt0025318,it's a gift,1934,0,7.3,4551,666000,30,11,1934,USA,0
70,tt0025746,the scarlet empress,1934,0,7.7,5224,900000,7,9,1934,USA,0
71,tt0024894,the black cat,1934,1,7.1,8269,95745,7,5,1934,USA,0
72,tt0025004,the count of monte cristo,1934,0,7.5,2234,1400000,7,9,1934,USA,0
73,tt0025164,the gay divorcee,1934,0,7.6,6267,520000,12,10,1934,USA,0
74,tt0025948,viva villa!,1934,0,6.5,1046,1017400,27,4,1934,USA,0
75,tt0025919,twentieth century,1934,1,7.7,5401,200000,11,5,1934,USA,0
76,tt0026778,a night at the opera,1935,1,8,28747,1057000,15,11,1935,USA,0
77,tt0027125,top hat,1935,1,7.8,15778,609000,6,9,1935,USA,0
78,tt0026138,the bride of frankenstein,1935,0,7.9,39455,397024,6,5,1935,USA,0
79,tt0025913,triumph of the will,1935,0,7.4,13861,158995,28,3,1935,Germany,0
80,tt0026725,les misérables,1935,0,7.6,3084,1000000,20,4,1935,USA,0
81,tt0026029,the 39 steps,1935,0,7.8,47078,60000,1,8,1935,USA,0
