,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,WINNER,COUNTRY
0,tt0018379,seventh heaven,1926.0,0.0,7.7,2801.0,1300000.0,30.0,10.0,1927.0,0.0,35
1,tt0018578,wings,1927.0,1.0,7.7,10234.0,2000000.0,5.0,1.0,1929.0,1.0,35
2,tt0018037,the jazz singer,1927.0,0.0,6.7,8254.0,422000.0,6.0,10.0,1927.0,0.0,35
3,tt0037024,the lodger,1927.0,0.0,7.2,2751.0,800000.0,19.0,1.0,1944.0,0.0,35
4,tt0018051,the kid brother,1927.0,0.0,7.6,3448.0,250000.0,17.0,1.0,1927.0,0.0,35
5,tt0018033,it,1927.0,1.0,7.4,2726.0,2000000.0,15.0,2.0,1927.0,0.0,35
6,tt0018192,napoléon,1927.0,0.0,7.7,6295.0,152000.0,7.0,4.0,1927.0,0.0,1
7,tt0018455,sunrise,1927.0,1.0,8.1,43717.0,200000.0,4.0,11.0,1927.0,0.0,35
8,tt0017136,metropolis,1927.0,1.0,8.3,145916.0,3407043.0,13.0,3.0,1927.0,0.0,35
9,tt0018526,underworld,1927.0,1.0,7.6,2228.0,100000.0,29.0,10.0,1927.0,0.0,35
21,tt0018217,october (ten days that shook the world),1928.0,0.0,7.5,6350.0,2500000.0,24.0,9.0,1928.0,0.0,4
20,tt0019729,the broadway melody,1928.0,0.0,6.1,5836.0,379000.0,6.0,6.0,1929.0,1.0,35
19,tt0019421,"steamboat bill, jr.",1928.0,1.0,8.0,11761.0,404282.0,20.0,5.0,1928.0,0.0,35
18,tt0018839,the docks of new york,1928.0,0.0,7.6,3517.0,380000.0,29.0,9.0,1928.0,0.0,35
17,tt0018523,an italian straw hat,1928.0,0.0,6.9,714.0,500000.0,13.0,1.0,1928.0,0.0,2
16,tt0019071,the last command,1928.0,0.0,8.0,2963.0,390000.0,24.0,3.0,1928.0,0.0,3
13,tt0018806,the crowd,1928.0,1.0,8.0,6868.0,1000000.0,3.0,3.0,1928.0,0.0,35
14,tt0019585,the wind,1928.0,1.0,8.2,5577.0,1000000.0,23.0,11.0,1928.0,0.0,35
12,tt0019254,the passion of joan of arc,1928.0,0.0,8.1,41233.0,7125440.0,25.0,10.0,1928.0,0.0,2
11,tt0019688,big business,1928.0,1.0,7.8,2567.0,2500.0,20.0,4.0,1929.0,0.0,35
10,tt0018742,the cameraman,1928.0,0.0,8.2,9302.0,1200000.0,22.0,9.0,1928.0,0.0,35
15,tt0020530,un chien andalou,1928.0,1.0,7.8,42313.0,16931.0,6.0,6.0,1929.0,0.0,2
29,tt0019735,bulldog drummond,1929.0,0.0,6.5,767.0,550000.0,2.0,5.0,1929.0,0.0,35
32,tt0020629,all quiet on the western front,1929.0,1.0,8.0,53729.0,1448864.0,24.0,8.0,1930.0,1.0,35
31,tt0021577,l'âge d'or,1929.0,0.0,7.4,11579.0,169309.0,1.0,11.0,1979.0,0.0,35
30,tt0019760,the man with the movie camera,1929.0,0.0,8.4,19978.0,121590.0,12.0,5.0,1929.0,0.0,35
27,tt0019644,applause,1929.0,0.0,7.3,1201.0,200000.0,4.0,1.0,1930.0,0.0,35
28,tt0020298,queen kelly,1929.0,0.0,7.7,2963.0,800000.0,18.0,10.0,1932.0,0.0,5
25,tt0018737,pandora's box,1929.0,0.0,7.9,8990.0,800000.0,22.0,2.0,1930.0,0.0,6
24,tt0019823,disraeli,1929.0,0.0,6.3,902.0,318000.0,1.0,11.0,1929.0,0.0,35
23,tt0019702,blackmail,1929.0,1.0,7.0,8701.0,12000.0,6.0,10.0,1929.0,0.0,35
22,tt0020112,the love parade,1929.0,0.0,7.2,1784.0,650000.0,18.0,1.0,1930.0,0.0,35
26,tt0019959,hallelujah,1929.0,0.0,6.9,1426.0,500000.0,20.0,8.0,1929.0,0.0,35
40,tt0022958,grand hotel,1930.0,1.0,7.5,15822.0,700000.0,11.0,9.0,1932.0,1.0,35
41,tt0020686,the big house,1930.0,0.0,7.1,1633.0,414000.0,14.0,6.0,1930.0,0.0,35
39,tt0020960,hell's angels,1930.0,0.0,7.7,4479.0,3950000.0,15.0,11.0,1930.0,0.0,35
38,tt0020640,animal crackers,1930.0,1.0,7.6,12299.0,125000.0,6.0,9.0,1930.0,0.0,35
37,tt0021153,monte carlo,1930.0,1.0,6.9,1042.0,726465.0,27.0,8.0,1930.0,0.0,35
36,tt0021409,under the roofs of paris,1930.0,0.0,7.2,1829.0,37586658.0,15.0,12.0,1930.0,0.0,35
35,tt0021571,earth,1930.0,1.0,7.4,4333.0,2000000.0,17.0,10.0,1930.0,0.0,35
34,tt0020697,the blue angel,1930.0,0.0,7.8,12486.0,77982.0,5.0,12.0,1930.0,0.0,35
33,tt0021156,morocco,1930.0,1.0,7.2,4939.0,4800.0,6.0,12.0,1930.0,0.0,35
51,tt0021884,frankenstein,1931.0,1.0,7.9,59112.0,291000.0,21.0,11.0,1931.0,0.0,35
50,tt0022286,the public enemy,1931.0,0.0,7.7,16197.0,190000.0,15.0,5.0,1931.0,0.0,35
49,tt0022599,à nous la liberté,1931.0,0.0,7.6,3757.0,1500000.0,31.0,12.0,1931.0,0.0,35
48,tt0022100,m,1931.0,1.0,8.3,129744.0,500000.0,31.0,8.0,1931.0,0.0,4
47,tt0022150,le million,1931.0,0.0,7.5,2964.0,90000.0,4.0,2.0,1931.0,0.0,7
42,tt0022835,dr. jekyll and mr. hyde,1931.0,0.0,7.7,11486.0,535000.0,3.0,1.0,1932.0,0.0,35
45,tt0021749,city lights,1931.0,1.0,8.5,149626.0,1500000.0,7.0,3.0,1931.0,0.0,35
44,tt0021814,dracula,1931.0,1.0,7.6,41574.0,355000.0,14.0,2.0,1931.0,0.0,35
43,tt0021746,cimarron,1931.0,1.0,5.9,4837.0,1433000.0,9.0,2.0,1931.0,1.0,35
52,tt0021739,la chienne,1931.0,1.0,7.6,3262.0,100000.0,20.0,11.0,1931.0,0.0,2
46,tt0021079,little caesar,1931.0,1.0,7.3,10859.0,281000.0,25.0,1.0,1931.0,0.0,35
61,tt0023158,love me tonight,1932.0,1.0,7.7,3312.0,950000.0,14.0,10.0,1932.0,0.0,1
60,tt0023649,vampyr,1932.0,1.0,7.6,13962.0,20000.0,14.0,8.0,1934.0,0.0,35
63,tt0023876,cavalcade,1932.0,1.0,6.0,4018.0,1180280.0,15.0,4.0,1933.0,1.0,35
62,tt0022718,boudu saved from drowning,1932.0,1.0,7.4,4764.0,80000.0,23.0,2.0,1967.0,0.0,35
58,tt0024803,zéro de conduite,1932.0,0.0,7.4,7005.0,33862.0,21.0,6.0,1947.0,0.0,35
59,tt0022913,freaks,1932.0,1.0,7.9,38539.0,310607.0,20.0,2.0,1932.0,0.0,35
57,tt0023427,scarface,1932.0,1.0,7.8,23046.0,180000.0,9.0,4.0,1932.0,0.0,35
56,tt0023303,one hour with you,1932.0,0.0,7.3,1848.0,851000.0,25.0,3.0,1932.0,0.0,35
55,tt0023458,shanghai express,1932.0,1.0,7.4,6605.0,850000.0,12.0,2.0,1932.0,0.0,35
54,tt0023042,i am a fugitive from a chain gang,1932.0,1.0,8.2,10622.0,195845.0,19.0,11.0,1932.0,0.0,35
53,tt0023622,trouble in paradise,1932.0,0.0,8.1,11796.0,519706.0,28.0,10.0,1932.0,0.0,35
72,tt0023948,dinner at eight,1933.0,0.0,7.7,7018.0,435000.0,12.0,1.0,1934.0,0.0,35
71,tt0024034,42nd street,1933.0,1.0,7.6,9787.0,439000.0,11.0,3.0,1933.0,0.0,35
70,tt0023969,duck soup,1933.0,1.0,7.9,52545.0,160000.0,17.0,11.0,1933.0,0.0,35
69,tt0024216,king kong,1933.0,1.0,7.9,74137.0,670000.0,7.0,4.0,1933.0,0.0,35
68,tt0024264,little women,1933.0,1.0,7.3,5597.0,424000.0,24.0,11.0,1933.0,0.0,35
67,tt0024548,she done him wrong,1933.0,0.0,6.4,4993.0,200000.0,9.0,2.0,1933.0,0.0,35
66,tt0024473,the private life of henry viii,1933.0,0.0,7.2,3323.0,60000.0,21.0,9.0,1933.0,0.0,35
65,tt0024069,gold diggers of 1933,1933.0,1.0,8.0,6633.0,433000.0,27.0,5.0,1933.0,0.0,35
64,tt0024481,queen christina,1933.0,1.0,7.8,6633.0,1114000.0,9.0,2.0,1934.0,0.0,35
82,tt0025318,it's a gift,1934.0,0.0,7.3,4551.0,666000.0,30.0,11.0,1934.0,0.0,35
81,tt0025316,it happened one night,1934.0,1.0,8.1,85490.0,325000.0,22.0,2.0,1934.0,1.0,35
80,tt0025919,twentieth century,1934.0,1.0,7.7,5401.0,200000.0,11.0,5.0,1934.0,0.0,35
79,tt0025948,viva villa!,1934.0,0.0,6.5,1046.0,1017400.0,27.0,4.0,1934.0,0.0,35
78,tt0025164,the gay divorcee,1934.0,0.0,7.6,6267.0,520000.0,12.0,10.0,1934.0,0.0,35
