Title,Year,Rank,Directors,Countries
Avengers: Endgame  ,2019,1,"Russo, Anthony / Russo, Joe",USA
The Mustang  ,2019,2,"de Clermont-Tonnerre, Laura",France / USA
Apollo 11  ,2019,3,"Miller, Todd Douglas",USA
Us  ,2019,4,"Peele, Jordan",Japan / USA
How to Train Your Dragon: The Hidden World,2019,5,"DeBlois, Dean",USA
Captain Marvel,2019,6,"Boden, Anna / Fleck, Ryan",USA
Knock Down the House  ,2019,6,"Lears, Rachel",USA
Shazam!  ,2019,6,"Sandberg, David F.",USA
Clemency,2019,7,"Chukwu, Chinonye",USA
Honeyland,2019,7,"Kotevska, Tamara / Stefanov, Ljubomir",Rep of Macedonia
One Child Nation,2019,7,"Lynn, Zhang / Wang, Nanfu",USA
The Souvenir,2019,7,"Hogg, Joanna",UK / USA
Hail Satan?  ,2019,8,"Lane, Penny",USA
The Lego Movie 2: The Second Part,2019,9,"Mitchell, Mike",Denmark / Norway / Australia / USA
Long Shot  ,2019,9,"Levine, Jonathan",USA
Penguins  ,2019,9,"Fothergill, Alastair / Wilson, Jeff",USA
Pet Sematary  ,2019,9,"Kölsch, Kevin / Widmyer, Dennis",USA
Fighting With My Family,2019,10,"Merchant, Stephen",UK / USA
Roma,2018,1,"Cuarón, Alfonso",Mexico / USA
Cold War,2018,2,"Pawlikowski, Pawel",Poland / UK / France
Shoplifters,2018,3,"Koreeda, Hirokazu",Japan
Green Book,2018,4,"Farrelly, Peter",USA
A Star is Born,2018,5,"Cooper, Bradley",USA
If Beale Street Could Talk,2018,6,"Jenkins, Barry",USA
BlacKkKlansman,2018,7,"Lee, Spike",USA
The Favourite,2018,8,"Lanthimos, Yorgos",Ireland / UK / USA
Black Panther,2018,9,"Coogler, Ryan",USA
Capernaum,2018,10,"Labaki, Nadine",Lebanon / USA
The Shape of Water,2017,1,"del Toro, Guillermo",USA
"Three Billboards Outside Ebbing, Missouri",2017,2,"McDonagh, Martin",UK / USA
Call Me by Your Name,2017,3,"Guadagnino, Luca",Italy / France / Brazil / USA
Dunkirk,2017,4,"Nolan, Christopher",UK / Netherlands / France / USA
Lady Bird,2017,5,"Gerwig, Greta",USA
BPM (Beats Per Minute),2017,6,"Campillo, Robin",France
Get Out,2017,7,"Peele, Jordan",USA
The Square,2017,8,"Östlund, Ruben",Sweden / Germany / France / Denmark
Loveless,2017,9,"Zvyagintsev, Andrey",Russia / France
The Post,2017,10,"Spielberg, Steven",USA
La La Land,2016,1,"Chazelle, Damien",USA
Moonlight,2016,2,"Jenkins, Barry",USA
Manchester by the Sea,2016,3,"Lonergan, Kenneth",USA
Toni Erdmann,2016,4,"Ade, Maren",Germany / Austria
Arrival,2016,5,"Villeneuve, Denis",USA
The Handmaiden,2016,6,"Park, Chan-wook",South Korea
Elle,2016,7,"Verhoeven, Paul",France / Germany / Belgium
Fences,2016,8,"Washington, Denzel",USA
Hell or High Water,2016,9,"Mackenzie, David",USA
The Salesman,2016,10,"Farhadi, Asghar",Iran / France
Spotlight,2015,1,"McCarthy, Tom",USA
Son of Saul,2015,2,"Nemes, László",Hungary
Mad Max: Fury Road,2015,3,"Miller, George",Australia / USA
The Revenant,2015,4,"Iñárritu, Alejandro González",USA
Carol,2015,5,"Haynes, Todd",UK / USA / France
Inside Out,2015,6,"Docter, Pete / Del Carmen, Ronaldo",USA
Room,2015,7,"Abrahamson, Lenny",Ireland / Canada
The Martian,2015,8,"Scott, Ridley",USA
The Big Short,2015,9,"McKay, Adam",USA
Brooklyn,2015,10,"Crowley, John",Ireland / UK / Canada
Boyhood,2014,1,"Linklater, Richard",USA
Birdman,2014,2,"Iñárritu, Alejandro González",USA
Leviathan,2014,3,"Zvyagintsev, Andrey",Russia
The Grand Budapest Hotel,2014,4,"Anderson, Wes",USA / Germany
The Imitation Game,2014,5,"Tyldum, Morten",UK / USA
Whiplash,2014,6,"Chazelle, Damien",USA
"Two Days, One Night",2014,7,"Dardenne, Jean-Pierre / Dardenne, Luc",Belgium / France / Italy
Timbuktu,2014,8,"Sissako, Abderrahmane",France / Mauritania
American Sniper,2014,9,"Eastwood, Clint",USA
Nightcrawler,2014,10,"Gilroy, Dan",USA
12 Years a Slave,2013,1,"McQueen, Steve",USA / UK
Blue is the Warmest Colour,2013,2,"Kechiche, Abdellatif",France
Gravity,2013,3,"Cuarón, Alfonso",USA / UK
Ida,2013,4,"Pawlikowski, Pawel",Poland / Denmark
The Wolf of Wall Street,2013,5,"Scorsese, Martin",USA
Inside Llewyn Davis,2013,6,"Coen, Ethan / Coen, Joel",USA / France
Her,2013,7,"Jonze, Spike",USA
The Great Beauty,2013,8,"Sorrentino, Paolo",Italy
Captain Phillips,2013,9,"Greengrass, Paul",USA
Nebraska,2013,10,"Payne, Alexander",USA
Amour,2012,1,"Haneke, Michael",France / Germany / Austria
Zero Dark Thirty,2012,2,"Bigelow, Kathryn",USA
Lincoln,2012,3,"Spielberg, Steven",USA / India
Argo,2012,4,"Affleck, Ben",USA
Life of Pi,2012,5,"Lee, Ang",USA
Beasts of the Southern Wild,2012,6,"Zeitlin, Benh",USA
The Master,2012,7,"Anderson, Paul Thomas",USA
Silver Linings Playbook,2012,8,"Russell, David O.",USA
Les Misérables,2012,9,"Hooper, Tom",UK
Holy Motors,2012,10,"Carax, Leos",France / Germany
A Separation,2011,1,"Farhadi, Asghar",Iran
The Artist,2011,2,"Hazanavicius, Michel",France / Belgium
The Tree of Life,2011,3,"Malick, Terrence",USA
Hugo,2011,4,"Scorsese, Martin",USA
The Descendants,2011,5,"Payne, Alexander",USA
Melancholia,2011,6,"von Trier, Lars",Denmark / Sweden / France / Germany
Midnight in Paris,2011,7,"Allen, Woody",Spain / USA
War Horse,2011,8,"Spielberg, Steven",USA
The Kid with a Bike,2011,9,"Dardenne, Jean-Pierre / Dardenne, Luc",Belgium / France
Moneyball,2011,10,"Miller, Bennett",USA
The Social Network,2010,1,"Fincher, David",USA
The King's Speech,2010,2,"Hooper, Tom",UK / Australia
Inception,2010,3,"Nolan, Christopher",USA / UK
Black Swan,2010,4,"Aronofsky, Darren",USA
True Grit,2010,5,"Coen, Ethan / Coen, Joel",USA
Winter's Bone,2010,6,"Granik, Debra",USA
Toy Story 3,2010,7,"Unkrich, Lee",USA
The Fighter,2010,8,"Russell, David O.",USA
Incendies,2010,9,"Villeneuve, Denis",Canada
The Kids Are All Right,2010,10,"Cholodenko, Lisa",USA
