,TITLE,YEAR,RANK
0,avengers: endgame  ,2019,1
1,the mustang  ,2019,2
2,apollo 11  ,2019,3
3,us  ,2019,4
4,how to train your dragon: the hidden world,2019,5
5,captain marvel,2019,6
6,knock down the house  ,2019,6
7,shazam!  ,2019,6
8,clemency,2019,7
9,honeyland,2019,7
10,one child nation,2019,7
11,the souvenir,2019,7
12,hail satan?  ,2019,8
13,the lego movie 2: the second part,2019,9
14,long shot  ,2019,9
15,penguins  ,2019,9
16,pet sematary  ,2019,9
17,fighting with my family,2019,10
18,roma,2018,1
19,cold war,2018,2
20,shoplifters,2018,3
21,green book,2018,4
22,a star is born,2018,5
23,if beale street could talk,2018,6
24,blackkklansman,2018,7
25,the favourite,2018,8
26,black panther,2018,9
27,capernaum,2018,10
28,"three billboards outside ebbing, missouri",2017,2
29,call me by your name,2017,3
30,dunkirk,2017,4
31,lady bird,2017,5
32,bpm (beats per minute),2017,6
33,get out,2017,7
34,the square,2017,8
35,loveless,2017,9
36,the post,2017,10
37,la la land,2016,1
38,manchester by the sea,2016,3
39,toni erdmann,2016,4
40,arrival,2016,5
41,the handmaiden,2016,6
42,elle,2016,7
43,fences,2016,8
44,hell or high water,2016,9
45,the salesman,2016,10
46,son of saul,2015,2
47,mad max: fury road,2015,3
48,the revenant,2015,4
49,carol,2015,5
50,inside out,2015,6
51,room,2015,7
52,the martian,2015,8
53,the big short,2015,9
54,brooklyn,2015,10
55,boyhood,2014,1
56,birdman,2014,2
57,leviathan,2014,3
58,the grand budapest hotel,2014,4
59,the imitation game,2014,5
60,whiplash,2014,6
61,"two days, one night",2014,7
62,timbuktu,2014,8
63,american sniper,2014,9
64,nightcrawler,2014,10
65,blue is the warmest colour,2013,2
66,gravity,2013,3
67,ida,2013,4
68,the wolf of wall street,2013,5
69,inside llewyn davis,2013,6
70,her,2013,7
71,the great beauty,2013,8
72,captain phillips,2013,9
73,nebraska,2013,10
74,amour,2012,1
75,zero dark thirty,2012,2
76,lincoln,2012,3
77,life of pi,2012,5
78,beasts of the southern wild,2012,6
79,the master,2012,7
80,silver linings playbook,2012,8
81,les misérables,2012,9
82,holy motors,2012,10
83,a separation,2011,1
84,the tree of life,2011,3
85,hugo,2011,4
86,the descendants,2011,5
87,melancholia,2011,6
88,midnight in paris,2011,7
89,war horse,2011,8
90,the kid with a bike,2011,9
91,moneyball,2011,10
92,the social network,2010,1
93,inception,2010,3
94,black swan,2010,4
95,true grit,2010,5
96,winter's bone,2010,6
97,toy story 3,2010,7
98,the fighter,2010,8
99,incendies,2010,9
100,the kids are all right,2010,10
101,a prophet,2009,1
102,the white ribbon,2009,2
103,avatar,2009,3
104,precious,2009,4
105,up in the air,2009,5
106,inglourious basterds,2009,6
107,the secret in their eyes,2009,7
108,a serious man,2009,8
109,an education,2009,9
110,district 9,2009,10
111,let the right one in,2008,2
112,waltz with bashir,2008,4
113,the dark knight,2008,5
114,wall•e,2008,6
115,milk,2008,7
116,frost/nixon,2008,8
117,the curious case of benjamin button,2008,9
118,gomorrah,2008,10
119,there will be blood,2007,2
120,the diving bell and the butterfly,2007,3
121,"4 months, 3 weeks and 2 days",2007,4
122,persepolis,2007,5
123,atonement,2007,6
124,juno,2007,7
125,into the wild,2007,8
126,michael clayton,2007,9
127,ratatouille,2007,10
128,pan's labyrinth,2006,1
129,the lives of others,2006,2
130,the queen,2006,3
131,babel,2006,5
132,little miss sunshine,2006,6
133,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,2006,7
134,volver,2006,8
135,united 93,2006,9
136,the host,2006,10
137,brokeback mountain,2005,1
138,"good night, and good luck.",2005,2
139,caché,2005,3
140,a history of violence,2005,4
141,capote,2005,5
142,tsotsi,2005,6
143,munich,2005,7
144,the three burials of melquiades estrada,2005,8
145,grizzly man,2005,9
146,paradise now,2005,10
147,sideways,2004,1
148,downfall,2004,3
149,the aviator,2004,4
150,house of flying daggers,2004,6
151,eternal sunshine of the spotless mind,2004,7
152,finding neverland,2004,8
153,vera drake,2004,9
154,hotel rwanda,2004,10
155,the lord of the rings: return of the king,2003,1
156,lost in translation,2003,2
157,oldboy,2003,3
158,the barbarian invasions,2003,4
159,dogville,2003,5
160,mystic river,2003,6
161,master and commander: the far side of the world,2003,7
162,finding nemo,2003,8
163,"good bye, lenin!",2003,9
164,the triplets of belleville,2003,10
165,city of god,2002,1
166,the lord of the rings: the two towers,2002,2
167,the pianist,2002,3
168,talk to her,2002,4
169,far from heaven,2002,5
170,adaptation.,2002,6
171,gangs of new york,2002,7
