year,ceremony,award,winner,movieName,filmInfo
2016,89,Best Picture,1,Arrival,"Shawn Levy, Dan Levine, Aaron Ryder and David Linde, Producers"
2016,89,Best Picture,1,Fences,"Scott Rudin, Denzel Washington and Todd Black, Producers"
2016,89,Best Picture,1,Hacksaw Ridge,"Bill Mechanic and David Permut, Producers"
2016,89,Best Picture,1,Hell or High Water,"Carla Hacken and Julie Yorn, Producers"
2016,89,Best Picture,1,Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers"
2016,89,Best Picture,1,La La Land,"Fred Berger, Jordan Horowitz and Marc Platt, Producers"
2016,89,Best Picture,1,Lion,"Emile Sherman, Iain Canning and Angie Fielder, Producers"
2016,89,Best Picture,1,Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers"
2016,89,Best Picture,1,Moonlight,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers"
2017,90,Best Picture,1,Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers"
2017,90,Best Picture,1,Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers"
2017,90,Best Picture,1,Dunkirk,"Emma Thomas and Christopher Nolan, Producers"
2017,90,Best Picture,1,Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers"
2017,90,Best Picture,1,Lady Bird,"Scott Rudin, Eli Bush and Evelyn O'Neill, Producers"
2017,90,Best Picture,1,Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers"
2017,90,Best Picture,1,The Post,"Amy Pascal, Steven Spielberg and Kristie Macosko Krieger, Producers"
2017,90,Best Picture,1,The Shape of Water,"Guillermo del Toro and J. Miles Dale, Producers"
2017,90,Best Picture,1,"Three Billboards outside Ebbing, Missouri","Graham Broadbent, Pete Czernin and Martin McDonagh, Producers"
