,year,ceremony,award,is_winner,winner,movieName,filmInfo
0,1928,1,Actor,,,Richard Barthelmess,The Noose
1,1928,1,Actor,1.0,1.0,Emil Jannings,The Last Command
2,1928,1,Actress,,,Louise Dresser,A Ship Comes In
3,1928,1,Actress,1.0,1.0,Janet Gaynor,7th Heaven
4,1928,1,Actress,,,Gloria Swanson,Sadie Thompson
5,1928,1,Art Direction,,,Rochus Gliese,Sunrise
6,1928,1,Art Direction,1.0,1.0,William Cameron Menzies,The Dove; Tempest
7,1928,1,Art Direction,,,Harry Oliver,7th Heaven
8,1928,1,Cinematography,,,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson
9,1928,1,Cinematography,1.0,1.0,Charles Rosher,Sunrise
10,1928,1,Cinematography,1.0,1.0,Karl Struss,Sunrise
11,1928,1,Directing (Comedy Picture),1.0,1.0,Lewis Milestone,Two Arabian Knights
12,1928,1,Directing (Comedy Picture),,,Ted Wilde,Speedy
13,1928,1,Directing (Dramatic Picture),1.0,1.0,Frank Borzage,7th Heaven
14,1928,1,Directing (Dramatic Picture),,,Herbert Brenon,Sorrell and Son
15,1928,1,Directing (Dramatic Picture),,,King Vidor,The Crowd
16,1928,1,Engineering Effects,,,Ralph Hammeras,
17,1928,1,Engineering Effects,1.0,1.0,Roy Pomeroy,Wings
18,1928,1,Engineering Effects,,,Nugent Slaughter,
19,1928,1,Outstanding Picture,,,The Caddo Company,The Racket
20,1928,1,Outstanding Picture,,,Fox,7th Heaven
21,1928,1,Outstanding Picture,1.0,1.0,Paramount Famous Lasky,Wings
22,1928,1,Unique and Artistic Picture,1.0,1.0,Fox,Sunrise
23,1928,1,Unique and Artistic Picture,,,Metro-Goldwyn-Mayer,The Crowd
24,1928,1,Unique and Artistic Picture,,,Paramount Famous Lasky,Chang
25,1928,1,Writing (Adaptation),,,Alfred Cohn,The Jazz Singer
26,1928,1,Writing (Adaptation),,,Anthony Coldeway,Glorious Betsy
27,1928,1,Writing (Adaptation),1.0,1.0,Benjamin Glazer,7th Heaven
28,1928,1,Writing (Original Story),,,Lajos Biro,The Last Command
29,1928,1,Writing (Original Story),1.0,1.0,Ben Hecht,Underworld
30,1928,1,Writing (Title Writing),,,Gerald Duffy,The Private Life of Helen of Troy
31,1928,1,Writing (Title Writing),1.0,1.0,Joseph Farnham,
32,1928,1,Writing (Title Writing),,,"George Marion, Jr.",
33,1928,1,Special Award,1.0,1.0,Warner Brothers,The Jazz Singer
34,1928,1,Special Award,1.0,1.0,Charles Chaplin,The Circus
35,1929,2,Actor,,,George Bancroft,Thunderbolt
36,1929,2,Actor,1.0,1.0,Warner Baxter,In Old Arizona
37,1929,2,Actor,,,Chester Morris,Alibi
38,1929,2,Actor,,,Paul Muni,The Valiant
39,1929,2,Actor,,,Lewis Stone,The Patriot
40,1929,2,Actress,,,Ruth Chatterton,Madame X
41,1929,2,Actress,,,Betty Compson,The Barker
42,1929,2,Actress,,,Jeanne Eagels,The Letter
43,1929,2,Actress,,,Corinne Griffith,The Divine Lady
44,1929,2,Actress,,,Bessie Love,The Broadway Melody
45,1929,2,Actress,1.0,1.0,Mary Pickford,Coquette
46,1929,2,Art Direction,,,Hans Dreier,The Patriot
47,1929,2,Art Direction,1.0,1.0,Cedric Gibbons,The Bridge of San Luis Rey
48,1929,2,Art Direction,,,Mitchell Leisen,Dynamite
49,1929,2,Art Direction,,,William Cameron Menzies,Alibi; and The Awakening
50,1929,2,Art Direction,,,Harry Oliver,Street Angel
51,1929,2,Cinematography,,,George Barnes,Our Dancing Daughters
52,1929,2,Cinematography,1.0,1.0,Clyde De Vinna,White Shadows in the South Seas
53,1929,2,Cinematography,,,Arthur Edeson,In Old Arizona
54,1929,2,Cinematography,,,Ernest Palmer,Four Devils; and Street Angel
55,1929,2,Cinematography,,,John Seitz,The Divine Lady
56,1929,2,Directing,,,Lionel Barrymore,Madame X
57,1929,2,Directing,,,Harry Beaumont,The Broadway Melody
58,1929,2,Directing,,,Irving Cummings,In Old Arizona
59,1929,2,Directing,1.0,1.0,Frank Lloyd,The Divine Lady
60,1929,2,Directing,,,Frank Lloyd,Drag; and Weary River
61,1929,2,Directing,,,Ernst Lubitsch,The Patriot
62,1929,2,Outstanding Picture,,,Feature Productions,Alibi
