original_title,title,release_date,budget,revenue,popularity,vote_average,vote_count
Avatar,Avatar,2009-12-10,237000000,2787965087,150.437577,7.2,11800
Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,2007-05-19,300000000,961000000,139.082615,6.9,4500
Spectre,Spectre,2015-10-26,245000000,880674609,107.37678799999999,6.3,4466
The Dark Knight Rises,The Dark Knight Rises,2012-07-16,250000000,1084939099,112.31295,7.6,9106
John Carter,John Carter,2012-03-07,260000000,284139100,43.926995,6.1,2124
Spider-Man 3,Spider-Man 3,2007-05-01,258000000,890871626,115.69981399999999,5.9,3576
Tangled,Tangled,2010-11-24,260000000,591794936,48.681969,7.4,3330
Avengers: Age of Ultron,Avengers: Age of Ultron,2015-04-22,280000000,1405403694,134.27922900000002,7.3,6767
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,2009-07-07,250000000,933959197,98.885637,7.4,5293
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016-03-23,250000000,873260194,155.790452,5.7,7004
Superman Returns,Superman Returns,2006-06-28,270000000,391081192,57.925623,5.4,1400
Quantum of Solace,Quantum of Solace,2008-10-30,200000000,586090727,107.92881100000001,6.1,2965
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,200000000,1065659812,145.84737900000002,7.0,5246
The Lone Ranger,The Lone Ranger,2013-07-03,255000000,89289910,49.046956,5.9,2311
Man of Steel,Man of Steel,2013-06-12,225000000,662845518,99.398009,6.5,6359
The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,2008-05-15,225000000,419651413,53.978602,6.3,1630
The Avengers,The Avengers,2012-04-25,220000000,1519557910,144.448633,7.4,11776
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011-05-14,380000000,1045713802,135.413856,6.4,4948
Men in Black 3,Men in Black 3,2012-05-23,225000000,624026776,52.035179,6.2,4160
The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,2014-12-10,250000000,956019788,120.96574299999999,7.1,4760
The Amazing Spider-Man,The Amazing Spider-Man,2012-06-27,215000000,752215857,89.866276,6.5,6586
Robin Hood,Robin Hood,2010-05-12,200000000,310669540,37.668301,6.2,1398
The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,2013-12-11,250000000,958400000,94.370564,7.6,4524
The Golden Compass,The Golden Compass,2007-12-04,180000000,372234864,42.990906,5.8,1303
King Kong,King Kong,2005-12-14,207000000,550000000,61.226009999999995,6.6,2337
Titanic,Titanic,1997-11-18,200000000,1845034188,100.025899,7.5,7562
Captain America: Civil War,Captain America: Civil War,2016-04-27,250000000,1153304495,198.37239499999998,7.1,7241
Battleship,Battleship,2012-04-11,209000000,303025485,64.928382,5.5,2114
Jurassic World,Jurassic World,2015-06-09,150000000,1513528810,418.708552,6.5,8662
Skyfall,Skyfall,2012-10-25,200000000,1108561013,93.004993,6.9,7604
Spider-Man 2,Spider-Man 2,2004-06-25,200000000,783766341,35.149586,6.7,4321
Iron Man 3,Iron Man 3,2013-04-18,200000000,1215439994,77.68208,6.8,8806
Alice in Wonderland,Alice in Wonderland,2010-03-03,200000000,1025491110,78.530105,6.4,4645
X-Men: The Last Stand,X-Men: The Last Stand,2006-05-24,210000000,459359555,3.857526,6.3,3525
Monsters University,Monsters University,2013-06-20,200000000,743559607,89.186492,7.0,3528
Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,2009-06-19,150000000,836297228,21.939663,6.0,3138
Transformers: Age of Extinction,Transformers: Age of Extinction,2014-06-25,210000000,1091405097,116.840296,5.8,3095
Oz: The Great and Powerful,Oz: The Great and Powerful,2013-03-07,200000000,491868548,46.985445,5.7,3530
The Amazing Spider-Man 2,The Amazing Spider-Man 2,2014-04-16,200000000,705717432,89.270217,6.5,4179
TRON: Legacy,TRON: Legacy,2010-12-10,170000000,400062763,73.79505,6.3,2841
Cars 2,Cars 2,2011-06-11,200000000,559852396,49.98659,5.8,2033
Green Lantern,Green Lantern,2011-06-16,200000000,219851172,51.872839,5.1,2487
Toy Story 3,Toy Story 3,2010-06-16,200000000,1066969703,59.99541800000001,7.6,4597
Terminator Salvation,Terminator Salvation,2009-05-20,200000000,371353001,71.862892,5.9,2463
Furious 7,Furious 7,2015-04-01,190000000,1506249360,102.32221700000001,7.3,4176
World War Z,World War Z,2013-06-20,200000000,531865000,81.834855,6.7,5560
X-Men: Days of Future Past,X-Men: Days of Future Past,2014-05-15,250000000,747862775,118.07869099999999,7.5,6032
Star Trek Into Darkness,Star Trek Into Darkness,2013-05-05,190000000,467365246,78.29101800000001,7.4,4418
Jack the Giant Slayer,Jack the Giant Slayer,2013-02-27,195000000,197687603,43.349855,5.5,2598
The Great Gatsby,The Great Gatsby,2013-05-10,105000000,351040419,61.196070999999996,7.3,3769
Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010-05-19,150000000,335154643,62.169881000000004,6.2,2317
Pacific Rim,Pacific Rim,2013-07-11,180000000,407602906,56.523205000000004,6.7,4794
Transformers: Dark of the Moon,Transformers: Dark of the Moon,2011-06-28,195000000,1123746996,28.529607000000002,6.1,3299
Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,185000000,786636033,75.674458,5.7,2495
The Good Dinosaur,The Good Dinosaur,2015-11-14,175000000,331926147,51.692953,6.6,1736
Brave,Brave,2012-06-21,185000000,538983207,125.114374,6.7,4641
Star Trek Beyond,Star Trek Beyond,2016-07-07,185000000,343471816,65.352913,6.6,2568
WALL·E,WALL·E,2008-06-22,180000000,521311860,66.390712,7.8,6296
Rush Hour 3,Rush Hour 3,2007-08-08,140000000,258022233,22.57178,6.1,783
2012,2012,2009-10-10,200000000,769653595,45.274225,5.6,4903
A Christmas Carol,A Christmas Carol,2009-11-04,200000000,325233863,39.744242,6.6,1095
Jupiter Ascending,Jupiter Ascending,2015-02-04,176000003,183987723,85.36908000000001,5.2,2768
The Legend of Tarzan,The Legend of Tarzan,2016-06-29,180000000,356743061,42.741719,5.5,2430
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,180000000,748806957,67.391328,6.7,2629
X-Men: Apocalypse,X-Men: Apocalypse,2016-05-18,178000000,543934787,139.272042,6.4,4721
The Dark Knight,The Dark Knight,2008-07-16,185000000,1004558444,187.322927,8.2,12002
Up,Up,2009-05-13,175000000,735099082,92.201962,7.7,6870
Monsters vs Aliens,Monsters vs Aliens,2009-03-19,175000000,381509870,36.167578000000006,6.0,1423
Iron Man,Iron Man,2008-04-30,140000000,585174222,120.725053,7.4,8776
Hugo,Hugo,2011-11-22,170000000,185770160,32.319043,7.0,2141
Wild Wild West,Wild Wild West,1999-06-29,170000000,222104681,40.748915000000004,5.1,1020
The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,2008-07-01,145000000,401128639,60.034162,5.2,1387
Suicide Squad,Suicide Squad,2016-08-02,175000000,745000000,90.23791999999999,5.9,7458
Evan Almighty,Evan Almighty,2007-06-09,175000000,173000000,27.082182,5.3,1151
Edge of Tomorrow,Edge of Tomorrow,2014-05-27,178000000,370541256,79.456485,7.6,4858
Waterworld,Waterworld,1995-07-28,175000000,264218220,44.640291999999995,5.9,992
G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra,2009-08-04,175000000,302469017,32.852443,5.6,1962
Inside Out,Inside Out,2015-06-09,175000000,857611174,128.65596399999998,8.0,6560
The Jungle Book,The Jungle Book,2016-04-07,175000000,966550600,94.19931600000001,6.7,2892
Iron Man 2,Iron Man 2,2010-04-28,200000000,623933331,77.30019399999999,6.6,6849
Snow White and the Huntsman,Snow White and the Huntsman,2012-05-30,170000000,396600000,77.178973,5.8,3118
Maleficent,Maleficent,2014-05-28,180000000,758539785,110.62064699999999,7.0,4496
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,2014-06-26,170000000,710644566,243.79174300000003,7.3,4410
47 Ronin,47 Ronin,2013-12-06,175000000,150962475,41.796339,5.9,1326
Captain America: The Winter Soldier,Captain America: The Winter Soldier,2014-03-20,170000000,714766572,72.22526500000001,7.6,5764
Shrek Forever After,Shrek Forever After,2010-05-16,165000000,752600867,44.041185999999996,6.0,1959
Tomorrowland,Tomorrowland,2015-05-19,190000000,209154322,130.311355,6.2,2846
Big Hero 6,Big Hero 6,2014-10-24,165000000,652105443,203.73459,7.8,6135
Wreck-It Ralph,Wreck-It Ralph,2012-11-01,165000000,471222889,62.341073,7.1,4570
The Polar Express,The Polar Express,2004-11-10,165000000,305875730,47.323228,6.4,1474
Independence Day: Resurgence,Independence Day: Resurgence,2016-06-22,165000000,389681935,48.775723,4.9,2491
How to Train Your Dragon,How to Train Your Dragon,2010-03-05,165000000,494878759,67.263269,7.5,4227
Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,2003-07-02,200000000,435000000,69.405188,5.9,2143
Guardians of the Galaxy,Guardians of the Galaxy,2014-07-30,170000000,773328629,481.09862400000003,7.9,9742
Interstellar,Interstellar,2014-11-05,165000000,675120017,724.247784,8.1,10867
Inception,Inception,2010-07-14,160000000,825532764,167.58371,8.1,13752
シン・ゴジラ,Shin Godzilla,2016-07-29,15000000,77000000,9.476999000000001,6.5,143
The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012-11-26,250000000,1021103568,108.849621,7.0,8297
The Fast and the Furious,The Fast and the Furious,2001-06-22,38000000,207283925,6.909942,6.6,3428
The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,2008-11-24,150000000,333932083,60.269279000000004,7.3,3292
X-Men: First Class,X-Men: First Class,2011-05-24,160000000,353624124,3.195174,7.1,5181
The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,2015-11-18,160000000,653428261,127.28442700000001,6.6,3984
The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010-07-13,150000000,215283742,35.580815,5.8,1470
Poseidon,Poseidon,2006-05-12,160000000,181674817,21.133748,5.5,583
Alice Through the Looking Glass,Alice Through the Looking Glass,2016-05-25,170000000,299370084,56.268916000000004,6.5,1725
Shrek the Third,Shrek the Third,2007-05-17,160000000,798958165,42.986467,6.0,2278
Warcraft,Warcraft,2016-05-25,160000000,433677183,63.148529,6.3,2268
Terminator Genisys,Terminator Genisys,2015-06-23,155000000,440603537,202.04263500000002,5.8,3631
The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,155000000,415686217,49.661984000000004,6.2,1514
Pearl Harbor,Pearl Harbor,2001-05-21,140000000,449220945,34.20669,6.6,1791
Transformers,Transformers,2007-06-27,150000000,709709780,25.468493,6.6,4040
Alexander,Alexander,2004-11-21,155000000,167298192,39.019228999999996,5.6,927
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,2007-06-28,150000000,938212738,78.14439499999999,7.4,5494
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,2005-11-05,150000000,895921036,101.250416,7.5,5608
Hancock,Hancock,2008-07-01,150000000,624029371,56.758410999999995,6.2,2961
I Am Legend,I Am Legend,2007-12-14,150000000,585349010,70.867401,6.9,4853
Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,2005-07-13,150000000,474968763,53.905592000000006,6.7,3624
Ratatouille,Ratatouille,2007-06-22,150000000,623722818,65.677399,7.5,4369
Batman Begins,Batman Begins,2005-06-10,150000000,374218673,115.040024,7.5,7359
Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,2008-10-30,150000000,603900354,44.141021,6.2,1810
Night at the Museum: Battle of the Smithsonian,Night at the Museum: Battle of the Smithsonian,2009-05-20,150000000,413106170,81.781591,5.9,1971
X-Men Origins: Wolverine,X-Men Origins: Wolverine,2009-04-28,150000000,373062864,5.954333999999999,6.2,4021
The Matrix Revolutions,The Matrix Revolutions,2003-11-05,150000000,424988211,73.313918,6.4,3096
Frozen,Frozen,2013-11-27,150000000,1274219009,165.12536599999999,7.3,5295
The Matrix Reloaded,The Matrix Reloaded,2003-05-15,150000000,738599701,70.78591,6.7,3443
Thor: The Dark World,Thor: The Dark World,2013-10-29,170000000,644571402,99.499595,6.8,4755
Mad Max: Fury Road,Mad Max: Fury Road,2015-05-13,150000000,378858340,434.27856399999996,7.2,9427
Angels & Demons,Angels & Demons,2009-05-13,150000000,356613439,67.447636,6.5,2129
Thor,Thor,2011-04-21,150000000,449326618,86.493424,6.6,6525
Bolt,Bolt,2008-11-21,150000000,309979994,41.845878000000006,6.3,1750
G-Force,G-Force,2009-07-21,150000000,292817841,26.710397999999998,5.1,510
Wrath of the Titans,Wrath of the Titans,2012-03-27,150000000,301000000,44.927634999999995,5.5,1431
Dark Shadows,Dark Shadows,2012-05-08,150000000,245527149,50.306728,5.7,2320
Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,2015-07-23,150000000,682330139,114.52223700000002,7.1,3224
Bee Movie,Bee Movie,2007-10-28,150000000,287594577,29.332905,5.7,1171
Kung Fu Panda 2,Kung Fu Panda 2,2011-05-25,150000000,665692281,51.247321,6.7,1880
The Last Airbender,The Last Airbender,2010-06-30,150000000,318502923,33.769335999999996,4.7,1151
Mission: Impossible III,Mission: Impossible III,2006-05-03,150000000,397850012,63.079003,6.5,2028
White House Down,White House Down,2013-06-27,150000000,205366737,39.004588,6.4,1891
Mars Needs Moms,Mars Needs Moms,2011-03-09,150000000,38992758,12.362599000000001,5.5,199
Flushed Away,Flushed Away,2006-10-22,149000000,64459316,22.550135,6.0,874
Pan,Pan,2015-09-24,150000000,128388320,48.03528,5.9,954
Mr. Peabody & Sherman,Mr. Peabody & Sherman,2014-02-07,145000000,272912430,38.73494,6.7,843
Troy,Troy,2004-05-13,175000000,497409852,66.803149,6.9,2759
Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,2012-06-06,145000000,746921274,44.989191999999996,6.4,1808
Die Another Day,Die Another Day,2002-11-17,140000000,431971116,54.159392000000004,5.8,1092
Ghostbusters,Ghostbusters,2016-07-14,144000000,229147509,66.21806,5.3,2142
Armageddon,Armageddon,1998-07-01,140000000,553799566,58.485967,6.4,2482
Men in Black II,Men in Black II,2002-07-03,140000000,441818803,91.332849,6.0,3114
Beowulf,Beowulf,2007-11-05,70000000,195735876,35.601665000000004,5.5,841
Kung Fu Panda 3,Kung Fu Panda 3,2016-01-23,145000000,521170825,56.747978,6.7,1603
Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011-12-07,145000000,694713380,77.77476999999999,6.8,3972
Rise of the Guardians,Rise of the Guardians,2012-11-21,145000000,306941670,61.788035,7.1,1922
Fun with Dick and Jane,Fun with Dick and Jane,2005-12-21,100000000,202026112,25.159167999999998,5.9,627
The Last Samurai,The Last Samurai,2003-12-05,140000000,456758981,52.341226,7.3,1895
Exodus: Gods and Kings,Exodus: Gods and Kings,2014-12-03,140000000,268031828,101.599427,5.6,1921
Star Trek,Star Trek,2009-05-06,150000000,385680446,73.61680799999999,7.4,4518
Spider-Man,Spider-Man,2002-05-01,139000000,821708551,82.502566,6.8,5265
How to Train Your Dragon 2,How to Train Your Dragon 2,2014-06-12,145000000,609123048,100.21391,7.6,3106
Gods of Egypt,Gods of Egypt,2016-02-25,140000000,150680864,56.257249,5.3,1277
Stealth,Stealth,2005-07-28,135000000,76932943,17.88953,4.9,331
Watchmen,Watchmen,2009-03-05,130000000,185258983,64.798873,7.0,2811
Lethal Weapon 4,Lethal Weapon 4,1998-07-10,140000000,285444603,24.855701,6.3,767
Hulk,Hulk,2003-06-19,137000000,245360480,34.981698,5.3,1533
G.I. Joe: Retaliation,G.I. Joe: Retaliation,2013-03-26,130000000,371876278,59.325589,5.4,3025
Sahara,Sahara,2005-04-06,130000000,119269486,21.605567999999998,5.7,434
Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,2001-07-02,137000000,85131830,26.074907999999997,5.9,433
Captain America: The First Avenger,Captain America: The First Avenger,2011-07-22,140000000,370569774,74.50624599999999,6.6,7047
The World Is Not Enough,The World Is Not Enough,1999-11-08,135000000,361832400,39.604363,6.0,862
Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,2003-11-14,150000000,212011111,36.973031,6.9,790
The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,120000000,829000000,99.687084,6.1,2553
Happy Feet Two,Happy Feet Two,2011-11-17,130000000,150406466,17.7735,5.8,373
The Incredible Hulk,The Incredible Hulk,2008-06-12,150000000,163712074,62.898336,6.1,3021
The BFG,The BFG,2016-06-01,140000000,183345589,44.19092,6.0,1000
The Revenant,The Revenant,2015-12-25,135000000,532950503,100.635882,7.3,6396
Turbo,Turbo,2013-07-11,135000000,282570682,44.765377,6.1,1074
Rango,Rango,2011-03-02,135000000,245724603,29.913529999999998,6.6,2051
Penguins of Madagascar,Penguins of Madagascar,2014-11-22,132000000,373552094,84.366984,6.5,1346
The Bourne Ultimatum,The Bourne Ultimatum,2007-08-03,70000000,442824138,45.381501,7.3,2888
Kung Fu Panda,Kung Fu Panda,2008-06-04,130000000,631744560,84.68964799999999,6.9,3145
Ant-Man,Ant-Man,2015-07-14,130000000,519311965,120.09361000000001,7.0,5880
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,2013-11-15,130000000,847423452,76.310119,7.4,6495
Home,Home,2015-03-18,135000000,368871007,63.473086,6.8,1519
War of the Worlds,War of the Worlds,2005-06-28,132000000,591739379,48.572726,6.2,2322
Bad Boys II,Bad Boys II,2003-07-18,130000000,273339556,38.068736,6.3,1564
Puss in Boots,Puss in Boots,2011-10-28,130000000,554987477,20.678787,6.4,451
Salt,Salt,2010-07-21,110000000,293329073,48.829437,6.2,2093
Noah,Noah,2014-03-20,125000000,362637473,46.115758,5.6,2350
The Adventures of Tintin,The Adventures of Tintin,2011-10-25,130000000,371940071,89.938296,6.7,2061
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,2004-05-31,130000000,789804554,79.679601,7.7,5877
Australia,Australia,2008-11-18,130000000,49554002,28.840996999999998,6.3,694
After Earth,After Earth,2013-05-30,130000000,243843127,42.840582,5.0,2532
Dinosaur,Dinosaur,2000-05-19,127500000,354248063,26.548594,6.2,542
Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb,2014-12-17,127000000,349424282,115.597753,6.1,1851
Megamind,Megamind,2010-10-28,130000000,321887208,68.757242,6.7,1918
Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,2001-11-16,125000000,976475550,109.984351,7.5,7006
R.I.P.D.,R.I.P.D.,2013-07-18,130000000,61648500,39.448066,5.4,1260
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,140000000,655011224,271.972889,7.5,6985
The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,2014-11-18,125000000,752100229,206.227151,6.6,5584
The Da Vinci Code,The Da Vinci Code,2006-05-17,125000000,767820459,45.313196999999995,6.5,2704
Rio 2,Rio 2,2014-03-19,103000000,500188435,42.400240000000004,6.3,978
X2,X2,2003-04-24,110000000,407711549,2.871739,6.8,3506
Fast Five,Fast Five,2011-04-20,125000000,626137675,7.255717999999999,7.1,2438
